"DSQICHOL.Code.or.Value","DSQICHOL.Value.Description","DSQICHOL.Count","DSQICHOL.Cumulative","DSQICHOL.Skip.to.Item"
"1.32 to 3000","Range of Values",237,237,NA
".","Missing",8048,8285,NA
