"URDUURLC.Code.or.Value","URDUURLC.Value.Description","URDUURLC.Count","URDUURLC.Cumulative","URDUURLC.Skip.to.Item"
"0","At or above the detection limit",2430,2430,NA
"1","Below lower detection limit",197,2627,NA
".","Missing",93,2720,NA
