"BAXFTC42.Code.or.Value","BAXFTC42.Value.Description","BAXFTC42.Count","BAXFTC42.Cumulative","BAXFTC42.Skip.to.Item"
"1 to 29","Range of Values",286,286,NA
".","Missing",725,1011,NA
