"BIXS013K.Code.or.Value","BIXS013K.Value.Description","BIXS013K.Count","BIXS013K.Cumulative","BIXS013K.Skip.to.Item"
"283.8 to 1033.98","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
