"ENQ040.Code.or.Value","ENQ040.Value.Description","ENQ040.Count","ENQ040.Cumulative","ENQ040.Skip.to.Item"
"1","Yes",341,341,NA
"2","No",5227,5568,NA
"7","Refused",0,5568,NA
"9","Don't know",0,5568,NA
".","Missing",2627,8195,NA
