"LBC209LA.Code.or.Value","LBC209LA.Value.Description","LBC209LA.Count","LBC209LA.Cumulative","LBC209LA.Skip.to.Item"
"0.1202 to 29.11","Range of Values",300,300,NA
".","Missing",1,301,NA
