"DED031.Code.or.Value","DED031.Value.Description","DED031.Count","DED031.Cumulative","DED031.Skip.to.Item"
"1","Get a severe sunburn with blisters",69,69,NA
"2","A severe sunburn for a few days with peeling",326,395,NA
"3","Mildly burned with some tanning",1000,1395,NA
"4","Turning darker without a sunburn",865,2260,NA
"5","Nothing would happen in half an hour",1834,4094,NA
"6","Other",37,4131,NA
"77","Refused",0,4131,NA
"99","Don't know",13,4144,NA
".","Missing",1,4145,NA
