"OHD29LAS.Code.or.Value","OHD29LAS.Value.Description","OHD29LAS.Count","OHD29LAS.Cumulative","OHD29LAS.Skip.to.Item"
"0 to 13","Range of Values",1513,1513,NA
"99","Calculation cannot be determined",272,1785,NA
".","Missing",4973,6758,NA
