"DR1TCRYP.Code.or.Value","DR1TCRYP.Value.Description","DR1TCRYP.Count","DR1TCRYP.Cumulative","DR1TCRYP.Skip.to.Item"
"0 to 9817","Range of Values",8389,8389,NA
".","Missing",949,9338,NA
