"URXTLC.Code.or.Value","URXTLC.Value.Description","URXTLC.Count","URXTLC.Cumulative","URXTLC.Skip.to.Item"
"0.07 to 588","Range of Values",2686,2686,NA
".","Missing",91,2777,NA
