"FSDAD.Code.or.Value","FSDAD.Value.Description","FSDAD.Count","FSDAD.Cumulative","FSDAD.Skip.to.Item"
"1","AD full food security: 0",7002,7002,NA
"2","AD marginal food security: 1-2",1351,8353,NA
"3","AD low food security: 3-5",1116,9469,NA
"4","AD very low food security: 6-10",594,10063,NA
".","Missing",86,10149,NA
