"DSD010.Code.or.Value","DSD010.Value.Description","DSD010.Count","DSD010.Cumulative","DSD010.Skip.to.Item"
"1","Yes",4178,4178,NA
"2","No",5994,10172,NA
"7","Refused",1,10173,NA
"9","Don't know",2,10175,NA
".","Missing",0,10175,NA
