"SMD415.Code.or.Value","SMD415.Value.Description","SMD415.Count","SMD415.Cumulative","SMD415.Skip.to.Item"
"1 to 2","Range of Values",1976,1976,NA
"3","3 or More",196,2172,NA
".","Missing",8867,11039,NA
