"SMQ666O.Code.or.Value","SMQ666O.Value.Description","SMQ666O.Count","SMQ666O.Cumulative","SMQ666O.Skip.to.Item"
"1","Regular",11,11,NA
"2","Light",6,17,NA
"3","Ultralight",0,17,NA
"7","Refused",1,18,NA
"9","Don't know",0,18,NA
".","Missing",7427,7445,NA
