"ORXH83.Code.or.Value","ORXH83.Value.Description","ORXH83.Count","ORXH83.Cumulative","ORXH83.Skip.to.Item"
"1","Positive",8,8,NA
"2","Negative",4839,4847,NA
"3","Not evaluated",455,5302,NA
".","Missing",0,5302,NA
