"PAXMTSM.Code.or.Value","PAXMTSM.Value.Description","PAXMTSM.Count","PAXMTSM.Cumulative","PAXMTSM.Skip.to.Item"
"0 to 608.252","Range of Values",78122385,78122385,NA
"-0.01","Value could not be computed",4471,78126856,NA
".","Missing",0,78126856,NA
