"WBXP026.Code.or.Value","WBXP026.Value.Description","WBXP026.Count","WBXP026.Cumulative","WBXP026.Skip.to.Item"
"-49.9945 to 161.8007","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
