"DR2MC.Code.or.Value","DR2MC.Value.Description","DR2MC.Count","DR2MC.Cumulative","DR2MC.Skip.to.Item"
"100000 to 207213","Range of Values",3661,3661,NA
"0","No modification",117680,121341,NA
".","Missing",0,121341,NA
