"URXEQU.Code.or.Value","URXEQU.Value.Description","URXEQU.Count","URXEQU.Cumulative","URXEQU.Skip.to.Item"
"0.04 to 17400","Range of Values",2792,2792,NA
".","Missing",149,2941,NA
