"WBXP093.Code.or.Value","WBXP093.Value.Description","WBXP093.Count","WBXP093.Cumulative","WBXP093.Skip.to.Item"
"-178.9378 to 158.0662","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
