"URDMHPLC.Code.or.Value","URDMHPLC.Value.Description","URDMHPLC.Count","URDMHPLC.Cumulative","URDMHPLC.Skip.to.Item"
"0","At or above the detection limit",1676,1676,NA
"1","Below lower detection limit",1009,2685,NA
".","Missing",92,2777,NA
