"FIAINTRP.Code.or.Value","FIAINTRP.Value.Description","FIAINTRP.Count","FIAINTRP.Cumulative","FIAINTRP.Skip.to.Item"
"1","Yes",138,138,NA
"2","No",10331,10469,NA
".","Missing",68,10537,NA
