"LBXF01.Code.or.Value","LBXF01.Value.Description","LBXF01.Count","LBXF01.Cumulative","LBXF01.Skip.to.Item"
"5.16 to 63.4","Range of Values",1229,1229,NA
".","Missing",1318,2547,NA
