"PFD069C.Code.or.Value","PFD069C.Value.Description","PFD069C.Count","PFD069C.Cumulative","PFD069C.Skip.to.Item"
"30 to 7300","Range of Values",27,27,NA
"66666","Since Birth",0,27,NA
"77777","Refused",0,27,NA
"99999","Don't know",0,27,NA
".","Missing",9618,9645,NA
