"PFQ061K.Code.or.Value","PFQ061K.Value.Description","PFQ061K.Count","PFQ061K.Cumulative","PFQ061K.Skip.to.Item"
"1","No difficulty",2325,2325,NA
"2","Some difficulty",138,2463,NA
"3","Much difficulty",37,2500,NA
"4","Unable to do",10,2510,NA
"5","Do not do this activity",1,2511,NA
"7","Refused",1,2512,NA
"9","Don't know",0,2512,NA
".","Missing",5838,8350,NA
