"DS1IMFAT.Code.or.Value","DS1IMFAT.Value.Description","DS1IMFAT.Count","DS1IMFAT.Cumulative","DS1IMFAT.Skip.to.Item"
"0.0003 to 9","Range of Values",63,63,NA
".","Missing",5631,5694,NA
