"DS2TLYCO.Code.or.Value","DS2TLYCO.Value.Description","DS2TLYCO.Count","DS2TLYCO.Cumulative","DS2TLYCO.Skip.to.Item"
"100 to 30000","Range of Values",435,435,NA
".","Missing",8903,9338,NA
