"DS1AN.Code.or.Value","DS1AN.Value.Description","DS1AN.Count","DS1AN.Cumulative","DS1AN.Skip.to.Item"
"1","Yes",159,159,NA
"2","No",8346,8505,NA
"7","Refused",0,8505,NA
"9","Don't know",0,8505,NA
".","Missing",1039,9544,NA
