"LBDVBFLC.Code.or.Value","LBDVBFLC.Value.Description","LBDVBFLC.Count","LBDVBFLC.Cumulative","LBDVBFLC.Skip.to.Item"
"0","Detectable Result",251,251,NA
"1","Below Detectable Limit",79,330,NA
"2","Detectable Result and Exceeds the Calibrated Range of 
      Assay",0,330,NA
".","Missing",521,851,NA
