"OPDUIRP.Code.or.Value","OPDUIRP.Value.Description","OPDUIRP.Count","OPDUIRP.Cumulative","OPDUIRP.Skip.to.Item"
"0","No",2277,2277,NA
"1","Yes",137,2414,NA
".","Missing",520,2934,NA
