"RDD120.Code.or.Value","RDD120.Value.Description","RDD120.Count","RDD120.Cumulative","RDD120.Skip.to.Item"
"0 to 14","Range of Values",1326,1326,NA
"20","20 or more",2,1328,NA
"7777","Refused",0,1328,NA
"9999","Don't know",3,1331,NA
".","Missing",8335,9666,NA
