"URDCOPLC.Code.or.Value","URDCOPLC.Value.Description","URDCOPLC.Count","URDCOPLC.Cumulative","URDCOPLC.Skip.to.Item"
"0","At or above the detection limit",2447,2447,NA
"1","Below lower detection limit",101,2548,NA
".","Missing",90,2638,NA
