"URDTIME2.Code.or.Value","URDTIME2.Value.Description","URDTIME2.Count","URDTIME2.Cumulative","URDTIME2.Skip.to.Item"
"2 to 232","Range of Values",1855,1855,NA
".","Missing",6436,8291,NA
