"WBXA063.Code.or.Value","WBXA063.Value.Description","WBXA063.Count","WBXA063.Cumulative","WBXA063.Skip.to.Item"
"-2.6904 to 0.9999","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
