"LBCHCB.Code.or.Value","LBCHCB.Value.Description","LBCHCB.Count","LBCHCB.Cumulative","LBCHCB.Skip.to.Item"
"0.0125 to 0.1967","Range of Values",247,247,NA
".","Missing",0,247,NA
