"SPXBFEV3.Code.or.Value","SPXBFEV3.Value.Description","SPXBFEV3.Count","SPXBFEV3.Cumulative","SPXBFEV3.Skip.to.Item"
"980 to 7136","Range of Values",611,611,NA
".","Missing",7132,7743,NA
