"DR2TM181.Code.or.Value","DR2TM181.Value.Description","DR2TM181.Count","DR2TM181.Cumulative","DR2TM181.Skip.to.Item"
"0 to 173.939","Range of Values",7715,7715,NA
".","Missing",2047,9762,NA
