"DID341.Code.or.Value","DID341.Value.Description","DID341.Count","DID341.Cumulative","DID341.Skip.to.Item"
"1 to 365","Range of Values",492,492,NA
"0","None",210,702,NA
"7777","Refused",0,702,NA
"9999","Don't know/not sure",3,705,NA
".","Missing",8659,9364,NA
