"DS2ICOPP.Code.or.Value","DS2ICOPP.Value.Description","DS2ICOPP.Count","DS2ICOPP.Cumulative","DS2ICOPP.Skip.to.Item"
"0.00374 to 7","Range of Values",1496,1496,NA
".","Missing",4407,5903,NA
