"URXMX3.Code.or.Value","URXMX3.Value.Description","URXMX3.Count","URXMX3.Cumulative","URXMX3.Skip.to.Item"
"0.014 to 2100","Range of Values",2621,2621,NA
".","Missing",138,2759,NA
