"URDTCCLC.Code.or.Value","URDTCCLC.Value.Description","URDTCCLC.Count","URDTCCLC.Cumulative","URDTCCLC.Skip.to.Item"
"0","At or above the detection limit",411,411,NA
"1","Below lower detection limit",2165,2576,NA
".","Missing",118,2694,NA
