"DIQ280.Code.or.Value","DIQ280.Value.Description","DIQ280.Count","DIQ280.Cumulative","DIQ280.Skip.to.Item"
"2 to 18.5","Range of Values",404,404,NA
"777","Refused",2,406,NA
"999","Don't know",235,641,NA
".","Missing",8934,9575,NA
