"SXD031.Code.or.Value","SXD031.Value.Description","SXD031.Count","SXD031.Cumulative","SXD031.Skip.to.Item"
"13 to 68","Range of Values",3779,3779,NA
"12","12 years or younger",204,3983,NA
"77","Refused",5,3988,NA
"99","Don't know",7,3995,NA
".","Missing",848,4843,NA
