"BIXC806K.Code.or.Value","BIXC806K.Value.Description","BIXC806K.Count","BIXC806K.Cumulative","BIXC806K.Skip.to.Item"
"6.48 to 2012.89","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
