"LBDPFNAL.Code.or.Value","LBDPFNAL.Value.Description","LBDPFNAL.Count","LBDPFNAL.Cumulative","LBDPFNAL.Skip.to.Item"
"0","At or above the detection limit",1890,1890,NA
"1","Below lower detection limit",14,1904,NA
".","Missing",273,2177,NA
