"SMD415.Code.or.Value","SMD415.Value.Description","SMD415.Count","SMD415.Cumulative","SMD415.Skip.to.Item"
"1 to 2","Range of Values",1917,1917,NA
"3","3 or More",179,2096,NA
".","Missing",8026,10122,NA
