"LBXPDE.Code.or.Value","LBXPDE.Value.Description","LBXPDE.Count","LBXPDE.Cumulative","LBXPDE.Skip.to.Item"
"0.034 to 142.446","Range of Values",2298,2298,NA
".","Missing",249,2547,NA
