"RFXT117.Code.or.Value","RFXT117.Value.Description","RFXT117.Count","RFXT117.Cumulative","RFXT117.Skip.to.Item"
"1017 to 1026","Range of Values",33684,33684,NA
".","Missing",37,33721,NA
