"MGQ110.Code.or.Value","MGQ110.Value.Description","MGQ110.Count","MGQ110.Cumulative","MGQ110.Skip.to.Item"
"1","Yes",385,385,NA
"2","No",136,521,NA
"7","Refused",0,521,NA
"9","Don't know",154,675,NA
".","Missing",7146,7821,NA
