"VIXKRG2.Code.or.Value","VIXKRG2.Value.Description","VIXKRG2.Count","VIXKRG2.Cumulative","VIXKRG2.Skip.to.Item"
"0 to 180","Range of Values",6339,6339,NA
"888","Could not obtain",61,6400,NA
".","Missing",358,6758,NA
