"BMISUB.Code.or.Value","BMISUB.Value.Description","BMISUB.Count","BMISUB.Cumulative","BMISUB.Skip.to.Item"
"1","Could not obtain",1230,1230,NA
"2","Exceeds capacity",111,1341,NA
"3","Hard to obtain",0,1341,NA
".","Missing",8912,10253,NA
