"OSQ090g.Code.or.Value","OSQ090g.Value.Description","OSQ090g.Count","OSQ090g.Cumulative","OSQ090g.Skip.to.Item"
"1","Yes",9,9,"OSQ120g"
"2","No",2,11,""
"7","Refused",0,11,"OSQ120g"
"9","Don't know",0,11,"OSQ120g"
".","Missing",4968,4979,""
