"PFQ061B.Code.or.Value","PFQ061B.Value.Description","PFQ061B.Count","PFQ061B.Cumulative","PFQ061B.Skip.to.Item"
"1","No difficulty",1644,1644,NA
"2","Some difficulty",417,2061,NA
"3","Much difficulty",128,2189,NA
"4","Unable to do",61,2250,NA
"5","Do not do this activity",24,2274,NA
"7","Refused",0,2274,NA
"9","Don't know",2,2276,NA
".","Missing",6740,9016,NA
