"DRXIVB2.Code.or.Value","DRXIVB2.Value.Description","DRXIVB2.Count","DRXIVB2.Cumulative","DRXIVB2.Skip.to.Item"
"0 to 14.09","Range of Values",127147,127147,NA
".","Missing",693,127840,NA
