"ORXH18.Code.or.Value","ORXH18.Value.Description","ORXH18.Count","ORXH18.Cumulative","ORXH18.Skip.to.Item"
"1","Positive",13,13,NA
"2","Negative",4397,4410,NA
"3","Not evaluated",386,4796,NA
".","Missing",0,4796,NA
