"OPDDSDD.Code.or.Value","OPDDSDD.Value.Description","OPDDSDD.Count","OPDDSDD.Cumulative","OPDDSDD.Skip.to.Item"
"0","No",2095,2095,NA
"1","Yes",253,2348,NA
".","Missing",586,2934,NA
