"LBXSTB.Code.or.Value","LBXSTB.Value.Description","LBXSTB.Count","LBXSTB.Cumulative","LBXSTB.Skip.to.Item"
"0.1 to 13.1","Range of Values",6432,6432,NA
".","Missing",548,6980,NA
