"DS1IVB1.Code.or.Value","DS1IVB1.Value.Description","DS1IVB1.Count","DS1IVB1.Cumulative","DS1IVB1.Skip.to.Item"
"0.013 to 250","Range of Values",1176,1176,NA
".","Missing",4782,5958,NA
