"FSD670ZC.Code.or.Value","FSD670ZC.Value.Description","FSD670ZC.Count","FSD670ZC.Cumulative","FSD670ZC.Skip.to.Item"
"0 to 72","Range of Values",2944,2944,NA
"777","Refused",0,2944,NA
"999","Don't know",28,2972,NA
".","Missing",7203,10175,NA
