"DSQTFA.Code.or.Value","DSQTFA.Value.Description","DSQTFA.Count","DSQTFA.Cumulative","DSQTFA.Skip.to.Item"
"0.1 to 2800","Range of Values",2588,2588,NA
".","Missing",7587,10175,NA
