"MCD330.Code.or.Value","MCD330.Value.Description","MCD330.Count","MCD330.Cumulative","MCD330.Skip.to.Item"
"1 to 7305","Range of Values",783,783,NA
"777777","Refused",0,783,NA
"999999","Don't know",34,817,NA
".","Missing",9005,9822,NA
