"URXP01.Code.or.Value","URXP01.Value.Description","URXP01.Count","URXP01.Cumulative","URXP01.Skip.to.Item"
"33.9 to 27066310.1","Range of Values",2385,2385,NA
".","Missing",253,2638,NA
