"DMDSCHOL.Code.or.Value","DMDSCHOL.Value.Description","DMDSCHOL.Count","DMDSCHOL.Cumulative","DMDSCHOL.Skip.to.Item"
"1","In school",2348,2348,NA
"2","On vacation from school (between grades)",618,2966,NA
"3","Neither in school or on vacation from school (between grades)",344,3310,NA
"7","Refused",0,3310,NA
"9","Don't know",1,3311,NA
".","Missing",6654,9965,NA
