"OPDSSE.Code.or.Value","OPDSSE.Value.Description","OPDSSE.Count","OPDSSE.Cumulative","OPDSSE.Skip.to.Item"
"0","No",2353,2353,NA
"1","Questionable",10,2363,NA
"2","Yes",50,2413,NA
".","Missing",521,2934,NA
